index,direction,name,range,width
0,input,clock,,1
1,input,reset,,1
2,output,io_in_req_0_ready,,1
3,input,io_in_req_0_valid,,1
4,input,io_in_req_0_bits_vaddr,49:0,50
5,input,io_in_req_0_bits_data,127:0,128
6,input,io_in_req_0_bits_mask,15:0,16
7,input,io_in_req_0_bits_addr,47:0,48
8,input,io_in_req_0_bits_wline,,1
9,output,io_in_req_1_ready,,1
10,input,io_in_req_1_valid,,1
11,input,io_in_req_1_bits_vaddr,49:0,50
12,input,io_in_req_1_bits_data,127:0,128
13,input,io_in_req_1_bits_mask,15:0,16
14,input,io_in_req_1_bits_addr,47:0,48
15,input,io_in_req_1_bits_wline,,1
16,input,io_dcache_req_ready,,1
17,output,io_dcache_req_valid,,1
18,output,io_dcache_req_bits_vaddr,49:0,50
19,output,io_dcache_req_bits_addr,47:0,48
20,output,io_dcache_req_bits_data,511:0,512
21,output,io_dcache_req_bits_mask,63:0,64
22,output,io_dcache_req_bits_id,5:0,6
23,input,io_dcache_main_pipe_hit_resp_valid,,1
24,input,io_dcache_main_pipe_hit_resp_bits_id,5:0,6
25,input,io_dcache_replay_resp_valid,,1
26,input,io_dcache_replay_resp_bits_id,5:0,6
27,input,io_forward_0_s0Req_valid,,1
28,input,io_forward_0_s0Req_bits_vaddr,49:0,50
29,input,io_forward_0_s1Req_paddr,47:0,48
30,input,io_forward_0_s1Kill,,1
31,output,io_forward_0_s2Resp_valid,,1
32,output,io_forward_0_s2Resp_bits_forwardMask_0,,1
33,output,io_forward_0_s2Resp_bits_forwardMask_1,,1
34,output,io_forward_0_s2Resp_bits_forwardMask_2,,1
35,output,io_forward_0_s2Resp_bits_forwardMask_3,,1
36,output,io_forward_0_s2Resp_bits_forwardMask_4,,1
37,output,io_forward_0_s2Resp_bits_forwardMask_5,,1
38,output,io_forward_0_s2Resp_bits_forwardMask_6,,1
39,output,io_forward_0_s2Resp_bits_forwardMask_7,,1
40,output,io_forward_0_s2Resp_bits_forwardMask_8,,1
41,output,io_forward_0_s2Resp_bits_forwardMask_9,,1
42,output,io_forward_0_s2Resp_bits_forwardMask_10,,1
43,output,io_forward_0_s2Resp_bits_forwardMask_11,,1
44,output,io_forward_0_s2Resp_bits_forwardMask_12,,1
45,output,io_forward_0_s2Resp_bits_forwardMask_13,,1
46,output,io_forward_0_s2Resp_bits_forwardMask_14,,1
47,output,io_forward_0_s2Resp_bits_forwardMask_15,,1
48,output,io_forward_0_s2Resp_bits_forwardData_0,7:0,8
49,output,io_forward_0_s2Resp_bits_forwardData_1,7:0,8
50,output,io_forward_0_s2Resp_bits_forwardData_2,7:0,8
51,output,io_forward_0_s2Resp_bits_forwardData_3,7:0,8
52,output,io_forward_0_s2Resp_bits_forwardData_4,7:0,8
53,output,io_forward_0_s2Resp_bits_forwardData_5,7:0,8
54,output,io_forward_0_s2Resp_bits_forwardData_6,7:0,8
55,output,io_forward_0_s2Resp_bits_forwardData_7,7:0,8
56,output,io_forward_0_s2Resp_bits_forwardData_8,7:0,8
57,output,io_forward_0_s2Resp_bits_forwardData_9,7:0,8
58,output,io_forward_0_s2Resp_bits_forwardData_10,7:0,8
